gene_symbol	missing_fields	route	safety_gate	recommended_action
ABI3BP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABITRAM	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABL1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABL2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABLIM1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABLIM2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABLIM3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABO	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABR	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABRA	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABRACL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABRAXAS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABRAXAS1P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABRAXAS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABTB1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABTB2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ABTB3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAA1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACACA	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACACB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAD10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAD11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAD8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAD9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAD9-DT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACADL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACADM	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACADS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACADSB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACADVL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAN	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAP3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACAT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACBD3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACBD4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACBD5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACBD6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACBD7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACCS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACCSL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACD	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACE	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACE2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACER1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACER2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACER3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACHE	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACIN1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACKR1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACKR2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACKR3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACKR4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACLY	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACMSD	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACO1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACO2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT13	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOT9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOX1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOX2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOX3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACOXL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACP5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACP6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACP7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACPP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACPT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACR	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACRBP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACRC	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACRV1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSBG1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSBG2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSF2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSF3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSL1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSL3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSL4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSL5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSL6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSM1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSM2A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSM2B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSM3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSM5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSM6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACSS3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTA1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTA2-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTB	accessibility	unknown	EXCLUDED	manual curation before interpreting candidate rank
ACTBL2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTBP14	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTC1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTG1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTG1P14	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTG1P16	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTG1P17	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTG1P23	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTG1P24	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTG2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL11P	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL6A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL6B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL7A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL7B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTL9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTMAP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTN1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTN2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTN3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTN4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTN4P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR1A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR1AP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR1B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR3-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR3B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR3C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTR8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTRT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTRT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACTRT3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACVR1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACVR1B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACVR1C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACVR2A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACVR2B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACVR2B-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACVRL1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACY1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACY3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACYP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ACYP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADA	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAD2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM15	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM17	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM18	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM19	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM20	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM20P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM21	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM22	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM23	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM28	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM29	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM30	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM32	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM33	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM3A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM3B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAM9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMDEC1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS13	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS14	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS15	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS16	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS17	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS18	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS19	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS20	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS7P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS7P3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS7P4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS9-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTS9-AS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTSL1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTSL2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTSL3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTSL4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTSL4-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTSL4-AS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAMTSL5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADAR	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADARB1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
ADARB2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
